table,column,null_count,distinct_count,dtype
lead_logs,lead_id,0,8,object
lead_logs,lead_col2,0,5,object
lead_logs,lead_col3,0,2,object
lead_logs,lead_col4,0,5,object
lead_logs,lead_col5,0,3,object
lead_logs,lead_col6,0,1,object
lead_logs,lead_col7,0,5,object
paid_transactions,transaction_id,0,14,object
paid_transactions,transaction_status,0,1,object
paid_transactions,transaction_at,0,14,object
paid_transactions,transaction_location,0,6,object
paid_transactions,timezone_transaction,0,2,object
paid_transactions,transaction_type,0,2,object
referral_rewards,referral_reward_id,0,3,object
referral_rewards,reward_value,0,3,object
referral_rewards,created_at,0,3,object
referral_rewards,reward_type,0,1,object
user_referral_statuses,user_referral_status_id,0,3,object
user_referral_statuses,description,0,3,object
user_referral_statuses,created_at,0,2,object
user_logs,id,0,29,object
user_logs,user_id,0,9,object
user_logs,name,0,7,object
user_logs,phone_number,0,9,object
user_logs,homeclub,0,6,object
user_logs,timezone_homeclub,0,2,object
user_logs,membership_expired_date,0,9,object
user_logs,is_deleted,0,2,object
user_referral_logs,id,0,96,object
user_referral_logs,referral_id,0,78,object
user_referral_logs,source_transaction_id,0,18,object
user_referral_logs,created_at,0,96,object
user_referral_logs,is_reward_granted,0,2,object
user_referrals,referral_at,0,44,object
user_referrals,referral_id,0,46,object
user_referrals,referee_id,0,38,object
user_referrals,referee_name,0,36,object
user_referrals,referee_phone,0,33,object
user_referrals,referral_reward_id,0,4,object
user_referrals,referral_source,0,3,object
user_referrals,referrer_id,0,14,object
user_referrals,transaction_id,0,28,object
user_referrals,updated_at,0,40,object
user_referrals,user_referral_status_id,0,3,object
